,user,id_p,coun
0,215,NB ASUS NOTEBOOK /A1502ZA-VIPS553/I5-1235U/INTEL/IRIS XE/8GB/512GB PCIE/TOUCH VIPS/QUTET BLUE,1.0
1,247,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
2,129,ASUS NOTEBOOK/A416KA-FHD421/N4500/UMA/4GB/256GB PCIE/FHD/TRANSPARENT SILVER/OPI/WIN11,1.0
3,212,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
4,285,MOUSE VOTRE,1.0
5,286,LENOVO NOTEBOOK V14-G2 911D (R3-5300/8GB/256),1.0
6,287,TENDA ROUTER,1.0
7,287,TENDA ROUTER,1.0
8,288,ACER ASPIRE SWITCH 10E  SECOND,1.0
9,290,NB ACER ASPIRE 5 A514-45-R6EZ/ R5-5500U/2*4GB/512GB/W11H/OHS/FHD,1.0
10,291,NB ACER AN515-57-52BQ INTEL CORE I5-11400H RAM 8GB SSD 512GB,1.0
11,292,RAM 8GB KINGSTON,1.0
12,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
13,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
14,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
15,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
16,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
17,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
18,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
19,293,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB,1.0
20,294,MOUSE VOTRE,1.0
21,296,LENOVO IP 3 14IGL05 N4020/4GB/512GB,1.0
22,297,NB ACER SWIFT X SFX141G-R1B6 R5-5600U/1*16GB/512GB SSD/RTX 3050/W11H/OHS,1.0
23,299,LENOVO THINKBOOK 14 G2 ITL CORE I5/8GB/512GB/MX450,1.0
24,300,RAM 4GB KINGSTON,1.0
25,301,RAM 4GB KINGSTON,1.0
26,294,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
27,285,NB ACER ASPIRE 3 A314-35-C560 CELERON N5100 4GB/256GB/WIN11,1.0
28,302,EPSON EB-X500,1.0
29,302,EPSON EB-X500,1.0
30,302,EPSON EB-X500,1.0
31,302,EPSON EB-X500,1.0
32,289,VIEWSONIC PA-503S,1.0
33,303,AXIO 14E 4GB/256GB SSD SILVER,1.0
34,304,EPSON EB-E500,1.0
35,305,NB LENOVO IP SLIM 3 7GID INTEL N4020 RAM 4GB SSD 512GB,1.0
36,306,ASUS NOTEBOOK/A516MA0-FHD423/N4020/UMA/4GB/256GB PCIE/HDD HOUSING/FHD/SLATE GREY/BLACK/OPI/WIN 11,1.0
37,307,LENOVO IP 3 14IGL05 N4020/4GB/512GB/WIN 11+OHS 2021,1.0
38,308,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ,1.0
39,308,MOUSE VOTRE,1.0
40,309,ASUS NOTEBOOK/A416KA-FHD421/N4500/UMA/4GB/256GB PCIE/FHD/TRANSPARENT SILVER/OPI/WIN11,1.0
