,id,id_p
0,379,"ASUS PC AIO V222FAK-BA542W/21.5""/I5-10210U/4GB/256GB PCIE/FHD/WIN 11/BLACK"
1,380,ASUS PC AIO V222GAK-BA141W 21.5/J4025/UMA/4GB/1TB/FHD/WIN11/BLACK
2,370,ACER ASPIRE C22-1650/ I3-1115G4/4GB/512GB/W11H/OHS
3,371,ACER PC AIO C24-1700 I3-1215U/4GB/512GB/UMA/WIN11/OHS2021
4,374,ACER PC AIO C24-1700 I5-12350/8GB/512GB/UMA/WIN11 /OHS2021
5,378,"ASUS PC AIO V222FAK-BA342W/21.5""/I3-10110U/UMA/4GB/256GB PCIE/FHD/WIN 11/BLACK"
6,345,DELL VOSTRO 3405 AMD R5 3500U 4GB/256GB
7,330,ASUS NOTEBOOK /K413EA-VIPS353/I3-1125G4/UMA/8GB/512GB PCIE/VIPS/TRANSPARENT SILVER/WIN11
8,357,LENOVO NOTEBOOK V14-90ID (R3-5300/8GB/512)
9,337,ASUS NOTEBOOK/M34010C-OLED556/R5-5600H/RTX 3050/8GB/512GB SSD/COOL SILVER/OPI/WIN11
10,333,ASUS NOTEBOOK/A416KA-FHD421/N4500/UMA/4GB/256GB PCIE/FHD/TRANSPARENT SILVER/OPI/WIN11
11,328,ASUS NOTEBOOK /K413EA-VIPS35/I3-1125G4/UMA/8GB/512GB PCIE/VIPS/FHD HEARTY GOLD/WIN11
12,352,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/256GB
13,332,ASUS NOTEBOOK BR1100CKA W N4500/4G/128/HD/W11 HOME
14,340,AXIOO MYBOOK 14F 4GB/256GB 
15,344,DELL CHROMEBOOK CELERON 4020
16,348,HP 245 G8 R3-5300
17,353,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/256GB BLUE
18,452,"STAND PROJECTOR 
"
19,346,HP 14S-FQ1036AU R7-5700-8GB/512SSD
20,354,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/512GB
21,350,LENOVO AMD R7 5700U 8GB
22,351,LENOVO IDEAPAD 3 14ALC R3
23,359,LENOVO THINKBOOK 14 G2 ITL CORE I5/8GB/512GB/MX450
24,372,ACER PC AIO C24-1700 I3-1215U/4GB/512GB/UMA/WIN11/OHS2022
25,318,ACER SWIFT 3 SF314-43-R7EV
26,325,ASUS NOTEBOOK /A516KA-FHD422/N4500/UMA/4GB/256GB SSD/FHD/TRANSPARENT SILVER/OPI/WIN11
27,804,KABEL HDMI 2.0 SUPPORT 4K 2K 15M EYOTA
28,367,MSI NB KATANA GF66 12UC i7/8/512/RTX3050
29,362,LENOVO V14 G2 ITC CORE I3 
30,365,LENOVO V14-IIL I3 4GB/1TB HDD
31,366,MSI MODERN 14 9S7-14D334-1026 CORE  I3 4GB/256GB
32,368,MSI NB KATANA GF66 12UD i7/16/512 RTX3050Ti
33,360,LENOVO THINKBOOK 14-IIL I3 8GB/256 GB
34,313,NB ACER ASPIRE 5 A514-55-537X/CORE I5-1235U/1*8GB/512GB/WIN11 SLATE GREY
35,369,MSI NB MODERN 14 B11MOU i3/4/512
36,342,AXIOO MYBOOK 14F 6GB/265GB 
37,343,AXIOO SLIMBOOK 14 R3 8GB/256GB 
38,315,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB
39,404,VIEWSONIC PS-501X
40,407,VIEWSONIC PX-701HD
41,317,ACER NITRO 5 AN515-57-71CV i7-11800H/RTX3050/16/512/W10
42,382,ASUS PC AIO V241EAT-BA341W/23.8/I3-1115G4/4GB/1TB/FHD/TOUCH/WIN/BLACK
43,326,ASUS NOTEBOOK /E410MA0-FHD4521/N4020/UMA/4GB/512GB SSD/FHD/DREAMY WHITE
44,327,ASUS NOTEBOOK /E410MAO-FHD4531/N4020/UMA/4GB/512GB SSD/FHD/ROSE PINK
45,347,HP 240 G8 CORE I3
46,373,ACER ASPIRE C24-1650 I5 4GB/512GB
47,1101,SCREEN PIXEL MANUAL 70
48,323,NB ASUS NOTEBOOK /A416KA-FHD422/N4500/UMA/4GB/256GB SSD/FHD/SLATE GREY/OPI/WIN 11
49,405,VIEWSONIC PA-503S
50,356,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB)
51,341,AXIOO MYBOOK 14F 4GB/265GB 
52,321,NB ASUS NOTEBOOK /A1502ZA-VIPS553/I5-1235U/INTEL/IRIS XE/8GB/512GB PCIE/TOUCH VIPS/QUTET BLUE
53,20221008001,ACER MONITOR K243Y IPS FHD 23.8 SPEAKER
54,364,LENOVO V14GEN2 BCID CORE I7-11657 8GB/512GB
55,408,"ACER MONITOR KA242Y 23,8"" IPS FHD 1080P @75HZ"
56,383,LENOVO V50A-221MB
57,384,HP AIO F0053D SECOND
58,446,"SCREEN MOTORIZED 96"" GTC"
59,469,DAHUA DH-HAC-HFW1240CP 2MP OUTDOOR
60,390,BENQ SP-920P
61,392,CASIO XJ-S41
62,393,CASIO YM80
63,387,BENQ MINI PORTABLE PROJECTOR GV1
64,400,VIEWSONIC LS-810
65,422,"SAMSUNG MONITOR LED FLAT 21"" LS22A336NHEXXD"
66,419,"MONITOR SAMSUNG LC27F390FHEX/XD 27"""
67,434,"SCREEN MANUAL 70"" BRITE"
68,399,PANASONIC PT-AE4000E
69,396,EPSON EB-W06 LCD
70,401,VIEWSONIC M1
71,395,EPSON EB-U42
72,398,MINI PROJECTOR LAZERTOUCH
73,386,ACER BS-320P WXGA
74,388,BENQ MS-550
75,484,DAHUA DH-IPC-HDW2230TP IP 2MP INDOOR
76,449,"SCREEN TRIPOD 70"" PIXEL"
77,421,"SAMSUNG MONITOR  23,5"" CURVED FHD, HDMI,VGA,HEADPHONE"
78,417,MONITOR HP MONITOR M24IWA
79,418,MONITOR HP PAKET DEKSTOP
80,438,"SCREEN MANUAL 96"" CASA WHITE"
81,430,PRINTER HP INK TANK 115
82,420,PHILIPS MONITOR 24''1V8/70 IPS FHD @75HZ
83,427,PRINTER HP DESK INK 2337
84,428,PRINTER HP DJ 1216
85,429,PRINTER HP DJ 2336
86,437,"SCREEN MANUAL 84"" GTC"
87,435,"SCREEN MANUAL 84"" BRITE"
88,440,"SCREEN MANUAL 96"" LEATECH"
89,443,"SCREEN MOTORIZED 84"" CASA MW"
90,442,"SCREEN MOTORIZED 70"" PIXEL"
91,444,"SCREEN MOTORIZED 84"""
92,447,"SCREEN MOTORIZED 96"" LEATECH"
93,451,"SCREEN TRIPOD 96"" CASA MW"
94,489,DAHUA HAC-HDW1240M 2MP INDOOR
95,476,DAHUA DH-IPC-2230TP
96,478,DAHUA DH-IPC-HDW1230T1-S5
97,483,DAHUA DH-IPC-HDW1239TLP-A-LED
98,480,DAHUA DH-IPC-HDW1239T1P-LED-S4
99,644,LAMPU EPSON 
100,524,HIKVISION DS-2CE76HOT-ITPF 5MP INDOOR
101,609,MOUSE VOTRE
102,581,NB STAND AVA1800-70-1P
103,516,HIKVISION DS-2CE70DOT-ITMF
104,573,STAND PROJECTOR 
105,431,PRINTER HP INK TANK 315
106,355,LENOVO NOTEBOOK 14-ITL HGID (I3-115G4/4GB/256GB)
107,409,"ACER MONITOR XV242YP IPS 165HZ 24"""
108,416,"MONITOR GORGEUS PROVIEW 19"" FHD"
109,441,"SCREEN MOTORIZED 70"" CASA MW"
110,397,EPSON EB-X500
111,450,"SCREEN TRIPOD 84"" CASA MW"
